k	dataset	cluster.size	sindex	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	dunn	dunn2	entropy	wb.ratio
k6	3	25, 28, 27, 23, 31, 18	0.78	0	1, 1, 1, 1, 1.27, 1	0.98, 0.98, 1, 0.99, 0.99, 0.93	1, 1, 1, 1, 1, 0.94	0.99	0.98	70.36	0.56	0.99	1.78	0.99
k7	3	26, 21, 25, 18, 25, 18, 19	0.78	0	1, 1, 1, 1, 1.01, 1, 1.27	0.98, 0.98, 1, 0.99, 0.99, 0.93, 0.98	1, 1, 1, 1, 1, 0.94, 1	0.99	0.98	69.83	0.56	0.98	1.93	0.99
k8	3	26, 21, 25, 18, 30, 17, 8, 7	0.78	0	1, 1, 1, 1, 1.27, 1, 1, 1	0.98, 0.98, 1, 0.99, 0.99, 0.93, 0.96, 0.96	1, 1, 1, 1, 1, 0.94, 1, 1	0.99	0.98	69.19	0.56	0.97	1.99	0.99
k9	3	18, 19, 25, 18, 16, 16, 8, 17, 15	0.78	0	1, 1, 1, 1, 1.01, 1, 1, 1, 1.27	0.98, 0.98, 1, 0.99, 0.99, 0.92, 0.96, 0.98, 1	1, 1, 1, 1, 1, 0.93, 1, 1, 1	0.99	0.98	68.85	0.56	0.97	2.16	0.99
k10	3	18, 18, 26, 17, 14, 16, 10, 6, 12, 15	0.78	0	1, 1, 1, 1, 1.01, 1, 1, 1, 1, 1.27	0.98, 0.99, 1, 0.99, 0.99, 0.92, 0.96, 0.98, 0.98, 1	1, 1, 1, 1, 1, 0.93, 1, 1, 1, 1	0.99	0.98	68.28	0.56	0.97	2.24	0.99
k11	3	18, 18, 19, 17, 14, 16, 7, 10, 13, 12, 8	0.78	0	1, 1, 1, 1, 1.01, 1, 1, 1, 1, 1, 1.27	0.98, 0.99, 0.99, 0.99, 0.99, 0.92, 1, 0.96, 0.99, 0.98, 1	1, 1, 1, 1, 1, 0.93, 1, 1, 1, 1, 1	0.99	0.98	67.79	0.56	0.97	2.35	0.99
k12	3	18, 18, 11, 17, 14, 15, 10, 6, 10, 13, 12, 8	0.78	0	1, 1, 1, 1, 1.01, 1, 1, 1, 1, 1, 1, 1.27	0.98, 0.99, 1, 0.99, 0.99, 0.93, 1, 1, 0.95, 0.99, 0.98, 1	1, 1, 1, 1, 1, 0.93, 1, 1, 1, 1, 1, 1	0.99	0.98	67.39	0.56	0.97	2.44	0.99
k13	3	17, 17, 12, 15, 12, 15, 3, 9, 6, 11, 16, 11, 8	0.78	0	1, 1, 1, 1, 1.01, 1, 1, 1, 1, 1, 1, 1, 1.27	0.98, 0.99, 0.99, 0.99, 0.99, 0.93, 1, 1, 1, 0.96, 0.99, 0.98, 1	1, 1, 1, 1, 1, 0.93, 1, 1, 1, 1, 1, 1, 1	0.99	0.98	67.02	0.56	0.97	2.49	0.99
k14	3	17, 20, 11, 14, 12, 15, 3, 11, 6, 1, 9, 15, 10, 8	0.78	0	1, 1, 1, 1, 1.01, 1, 1, 1, 1, NA, 1, 1, 1, 1.27	0.98, 0.98, 1, 0.99, 0.99, 0.93, 1, 1, 1, NaN, 0.95, 0.99, 0.98, 1	1, 1, 1, 1, 1, 0.93, 1, 1, 1, NA, 1, 1, 1, 1	0.99	0.98	66.5	0.56	0.97	2.51	0.99
k15	3	17, 20, 4, 16, 10, 15, 3, 12, 7, 6, 9, 8, 10, 8, 7	0.78	0	1, 1, 1, 1, 1.01, 1, 1, 1, 1, 1, 1, 1, 1, 1.27, 1	0.98, 0.98, 1, 0.99, 0.99, 0.93, 1, 1, 0.99, 1, 0.95, 0.98, 0.98, 1, 0.99	1, 1, 1, 1, 1, 0.93, 1, 1, 1, 1, 1, 1, 1, 1, 1	0.99	0.98	65.92	0.56	0.97	2.6	0.99
